,NAME,BIO_LINK,BIRTH-DEATH,POSITION,PARTY,STATE,SESSION,DEGREE,SCHOOL,GRAD_YEAR,SCHOOL_LOC
12730,"LEE, Barbara",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000551,1946- ,Representative,Democrat,CA,114(2015-2016),B.A.,Mills College,1973," Oakland, Calif."
12731,"LEE, Barbara",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000551,1946- ,Representative,Democrat,CA,114(2015-2016),M.S.W.,University of California,1975," Berkeley, Calif."
12732,"LEVIN, Sander Martin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000263,1931- ,Representative,Democrat,MI,114(2015-2016),B.A.,University of Chicago,1952," Chicago, Ill."
12733,"LEVIN, Sander Martin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000263,1931- ,Representative,Democrat,MI,114(2015-2016),M.A.,Columbia University,1954," New York, N.Y."
12734,"LEVIN, Sander Martin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000263,1931- ,Representative,Democrat,MI,114(2015-2016),LL.B.,Harvard University,1957," Cambridge, Mass."
12735,"LEWIS, John R.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000287,1940- ,Representative,Democrat,GA,114(2015-2016),B.A.,American Baptist Theological Seminary,1961," Nashville, Tenn."
12736,"LEWIS, John R.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000287,1940- ,Representative,Democrat,GA,114(2015-2016),B.A.,Fisk University,1967," Nashville, Tenn."
12737,"LIEU, Ted",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000582,1969- ,Representative,Democrat,CA,114(2015-2016),B.A.,Stanford University,1991," Stanford, Calif."
12738,"LIEU, Ted",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000582,1969- ,Representative,Democrat,CA,114(2015-2016),B.S.,Stanford University,1991," Stanford, Calif."
12739,"LIEU, Ted",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000582,1969- ,Representative,Democrat,CA,114(2015-2016),J.D.,Georgetown University,1994,None
12740,"LIPINSKI, Daniel",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000563,1966- ,Representative,Democrat,IL,114(2015-2016),B.S.,Northwestern University,1988," Evanston, Ill."
12741,"LIPINSKI, Daniel",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000563,1966- ,Representative,Democrat,IL,114(2015-2016),M.S.,Stanford University,1989," Stanford, Calif."
12742,"LIPINSKI, Daniel",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000563,1966- ,Representative,Democrat,IL,114(2015-2016),Ph.D.,Duke University,1998," Durham, N.C."
12743,"LOEBSACK, Dave",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000565,1952- ,Representative,Democrat,IA,114(2015-2016),B.S.,Iowa State University,1974," Ames, Iowa"
12744,"LOEBSACK, Dave",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000565,1952- ,Representative,Democrat,IA,114(2015-2016),M.A.,Iowa State University,1976," Ames, Iowa"
12745,"LOEBSACK, Dave",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000565,1952- ,Representative,Democrat,IA,114(2015-2016),Ph.D.,University of California,1985," Davis, Calif."
12746,"LOFGREN, Zoe",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000397,1947- ,Representative,Democrat,CA,114(2015-2016),B.A.,Stanford University,1970," Stanford, Calif."
12747,"LOFGREN, Zoe",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000397,1947- ,Representative,Democrat,CA,114(2015-2016),J.D.,Santa Clara University School of Law,1975," Santa Clara, Calif."
12748,"LOUDERMILK, Barry D.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000583,1963- ,Representative,Republican,GA,114(2015-2016),B.S.,Wayland Baptist University,1992," Plainview, Tex."
12749,"LOVE, Ludmya Bourdeau (Mia)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000584,1975- ,Representative,Republican,UT,114(2015-2016),B.A.,University of Hartford,1997," West Hartford, Conn."
12750,"LOWENTHAL, Alan",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000579,1941- ,Representative,Democrat,CA,114(2015-2016),B.A.,Hobart College,1962," Geneva, N.Y."
12751,"LOWENTHAL, Alan",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000579,1941- ,Representative,Democrat,CA,114(2015-2016),M.A.,Ohio State University,1965," Columbus, Ohio"
12752,"LOWENTHAL, Alan",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000579,1941- ,Representative,Democrat,CA,114(2015-2016),Ph.D.,Ohio State University,1967," Columbus, Ohio"
12753,"LOWEY, Nita M.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000480,1937- ,Representative,Democrat,NY,114(2015-2016),B.S.,Mount Holyoke College,1959," South Hadley, Mass."
12754,"LUCAS, Frank D.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000491,1960- ,Representative,Republican,OK,114(2015-2016),B.S.,Oklahoma State University,1982,None
