"ACKERMAN, Gary Leonard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000022,1942- ,Representative,Democrat,NY,100(1987-1988),B.A.,Queens College,1965," Flushing, N.Y."
"ADAMS, Brockman (Brock)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000031,1927-2004,Senator,Democrat,WA,100(1987-1988),None,None,None,None
"AKAKA, Daniel Kahikina",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000069,1924- ,Representative,Democrat,HI,100(1987-1988),None,None,None,None
"ALEXANDER, William Vollie (Bill), Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000103,1934- ,Representative,Democrat,AR,100(1987-1988),B.A.,Rhodes College,1957," Memphis, Tenn."
"ALEXANDER, William Vollie (Bill), Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000103,1934- ,Representative,Democrat,AR,100(1987-1988),LL.B.,Vanderbilt University,1960," Nashville, Tenn."
"ANDERSON, Glenn Malcolm",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000189,1913-1994,Representative,Democrat,CA,100(1987-1988),B.A.,University of California,1936," Los Angeles, Calif."
"ANDREWS, Michael Allen",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000209,1944- ,Representative,Democrat,TX,100(1987-1988),B.A.,University of Texas,1967, Austin
"ANDREWS, Michael Allen",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000209,1944- ,Representative,Democrat,TX,100(1987-1988),J.D.,Southern Methodist University,1970," School of Law, Dallas, Tex."
"ANNUNZIO, Frank",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000212,1915-2001,Representative,Democrat,IL,100(1987-1988),B.S.,DePaul University,1940," Chicago, Ill."
"ANNUNZIO, Frank",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000212,1915-2001,Representative,Democrat,IL,100(1987-1988),M.A.,DePaul University,1942," Chicago, Ill."
"ANTHONY, Beryl Franklin, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000213,1938- ,Representative,Democrat,AR,100(1987-1988),J.D.,same university,1963,None
"APPLEGATE, Douglas Earl",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000214,1928- ,Representative,Democrat,OH,100(1987-1988),None,None,None,None
"ARCHER, William Reynolds, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000215,1928- ,Representative,Republican,TX,100(1987-1988),None,None,None,None
"ARMEY, Richard Keith",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000217,1940- ,Representative,Republican,TX,100(1987-1988),B.A.,Jamestown College,1963," Jamestown, N. Dak."
"ARMEY, Richard Keith",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000217,1940- ,Representative,Republican,TX,100(1987-1988),M.A.,University of North Dakota,1964," Grand Forks, N. Dak."
"ARMEY, Richard Keith",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000217,1940- ,Representative,Republican,TX,100(1987-1988),Ph.D.,University of Oklahoma,1968," Oklahoma City, Okla."
"ARMSTRONG, William Lester",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000219,1937- ,Senator,Republican,CO,100(1987-1988),None,None,None,None
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,100(1987-1988),B.A.,Yale University,1960,None
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,100(1987-1988),M.A.,Oxford University,1962, England
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,100(1987-1988),Ph.D.,economics,1965, Massachusetts Institute of Technology
"ATKINS, Chester Greenough",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000226,1948- ,Representative,Democrat,MA,100(1987-1988),None,None,None,None
"AuCOIN, Les",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000337,1942- ,Representative,Democrat,OR,100(1987-1988),B.A.,Pacific University,1969, Forest Grove
"BADHAM, Robert Edward",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000024,1929-2005,Representative,Republican,CA,100(1987-1988),None,None,None,None
"BAKER, Richard Hugh",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000072,1948- ,Representative,Republican,LA,100(1987-1988),B.A.,Louisiana State University,1971," Baton Rouge, La."
"BALLENGER, Cass",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000104,1926-2015,Representative,Republican,NC,100(1987-1988),B.A.,Amherst College,1948," Amherst, Mass."
"BARNARD, Druie Douglas, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000153,1922- ,Representative,Democrat,GA,100(1987-1988),A.B.,Mercer University,1943," Macon, Ga."
"BARTLETT, Harry Stephen (Steve)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000204,1947- ,Representative,Republican,TX,100(1987-1988),B.A.,University of Texas,1971, Austin
"BARTON, Joe Linus",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000213,1949- ,Representative,Republican,TX,100(1987-1988),M.S.,Purdue University,1973," West Lafayette, Ind."
"BATEMAN, Herbert Harvell",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000229,1928-2000,Representative,Republican,VA,100(1987-1988),B.A.,College of William and Mary,1949," Williamsburg, Va."
"BATEMAN, Herbert Harvell",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000229,1928-2000,Representative,Republican,VA,100(1987-1988),LL.B.,Georgetown University Law Center,1956," Washington, D.C."
"BATES, Jim",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000236,1941- ,Representative,Democrat,CA,100(1987-1988),B.A.,San Diego State University,1975,None
"BAUCUS, Max Sieben",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000243,1941- ,Senator,Democrat,MT,100(1987-1988),None,None,None,None
"BEILENSON, Anthony Charles",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000318,1932- ,Representative,Democrat,CA,100(1987-1988),B.A.,Harvard University,1954,None
"BEILENSON, Anthony Charles",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000318,1932- ,Representative,Democrat,CA,100(1987-1988),LL.B.,Harvard Law School,1957,None
"BENNETT, Charles Edward",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000371,1910-2003,Representative,Democrat,FL,100(1987-1988),J.D.,University of Florida,1934," Gainesville, Fla."
"BENTLEY, Helen Delich",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000392,1923- ,Representative,Republican,MD,100(1987-1988),BA.,University of Missouri,1944,None
"BENTSEN, Lloyd Millard, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000401,1921-2006,Senator,Democrat,TX,100(1987-1988),None,None,None,None
"BEREUTER, Douglas Kent",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000403,1939- ,Representative,Republican,NE,100(1987-1988),B.A.,University of Nebraska,1961," Lincoln, Nebr."
"BEREUTER, Douglas Kent",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000403,1939- ,Representative,Republican,NE,100(1987-1988),M.C.P.,Harvard University,1966," Cambridge, Mass."
