"ABERCROMBIE, Neil",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000014,1938- ,Representative,Democrat,HI,110(2007-2008),B.A.,Union College,1959," Schenectady, N.Y."
"ABERCROMBIE, Neil",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000014,1938- ,Representative,Democrat,HI,110(2007-2008),M.A.,University of Hawaii,1964," Manoa, Hawaii"
"ABERCROMBIE, Neil",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000014,1938- ,Representative,Democrat,HI,110(2007-2008),Ph.D.,University of Hawaii,1974," Manoa, Hawaii"
"ACKERMAN, Gary Leonard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000022,1942- ,Representative,Democrat,NY,110(2007-2008),B.A.,Queens College,1965," Flushing, N.Y."
"ADERHOLT, Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000055,1965- ,Representative,Republican,AL,110(2007-2008),B.A.,Birmingham Southern College,1987," Birmingham, Ala."
"ADERHOLT, Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000055,1965- ,Representative,Republican,AL,110(2007-2008),J.D.,Samford University,1990," Birmingham, Ala."
"AKAKA, Daniel Kahikina",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000069,1924- ,Senator,Democrat,HI,110(2007-2008),None,None,None,None
"AKIN, W. Todd",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000358,1947- ,Representative,Republican,MO,110(2007-2008),B.S.,Worcester Polytechnic Institute,1971," Worcester, Mass."
"ALEXANDER, Lamar",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000360,1940- ,Senator,Republican,TN,110(2007-2008),None,None,None,None
"ALEXANDER, Rodney",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000361,1946- ,Representative,Republican,LA,110(2007-2008),None,None,None,None
"ALLARD, A. Wayne",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000109,1943- ,Senator,Republican,CO,110(2007-2008),None,None,None,None
"ALLEN, Thomas H.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000357,1945- ,Representative,Democrat,ME,110(2007-2008),B.A.,Bowdoin College,1967," Brunswick, Maine"
"ALLEN, Thomas H.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000357,1945- ,Representative,Democrat,ME,110(2007-2008),J.D.,Harvard University,1974," Cambridge, Mass."
"ALTMIRE, Jason",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000362,1968- ,Representative,Democrat,PA,110(2007-2008),B.S.,Florida State University,1990," Tallahassee, Fla."
"ALTMIRE, Jason",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000362,1968- ,Representative,Democrat,PA,110(2007-2008),M.H.S.A.,George Washington University,1998," Washington, D.C."
"ANDREWS, Robert Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000210,1957- ,Representative,Democrat,NJ,110(2007-2008),B.S.,Bucknell University,1979," Lewisburg, Pa."
"ANDREWS, Robert Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000210,1957- ,Representative,Democrat,NJ,110(2007-2008),J.D.,Cornell Law School,1982," Ithaca, N.Y."
"ARCURI, Michael",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000363,1959- ,Representative,Democrat,NY,110(2007-2008),B.A.,State University of New York,1981," Albany, N.Y."
"ARCURI, Michael",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000363,1959- ,Representative,Democrat,NY,110(2007-2008),J.D.,New York Law School,1984," New York, N.Y."
"BACA, Joe",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001234,1947- ,Representative,Democrat,CA,110(2007-2008),B.A.,California State University,1971," Los Angeles, Calif."
"BACHMANN, Michele",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001256,1956- ,Representative,Republican,MN,110(2007-2008),B.A.,Winona State University,1978," Winona, Minn."
"BACHMANN, Michele",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001256,1956- ,Representative,Republican,MN,110(2007-2008),J.D.,Coburn School of Law,1986," Oral Roberts University, Tulsa, Okla."
"BACHMANN, Michele",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001256,1956- ,Representative,Republican,MN,110(2007-2008),L.L.M.,College of William and Mary,1988," Williamsburg, Va."
"BACHUS, Spencer T., III",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000013,1947- ,Representative,Republican,AL,110(2007-2008),B.A.,Auburn University,1969," Auburn, Ala."
"BACHUS, Spencer T., III",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000013,1947- ,Representative,Republican,AL,110(2007-2008),J.D.,University of Alabama School of Law,1972," Tuscaloosa, Ala."
"BAIRD, Brian",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001229,1956- ,Representative,Democrat,WA,110(2007-2008),B.S.,University of Utah,1977," Provo, Utah"
"BAIRD, Brian",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001229,1956- ,Representative,Democrat,WA,110(2007-2008),M.S.,University of Wyoming,1980," Laramie, Wyo."
"BAIRD, Brian",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001229,1956- ,Representative,Democrat,WA,110(2007-2008),Ph.D.,University of Wyoming,1984," Laramie, Wyo."
"BAKER, Richard Hugh",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000072,1948- ,Representative,Republican,LA,110(2007-2008),B.A.,Louisiana State University,1971," Baton Rouge, La."
"BALDWIN, Tammy",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001230,1962- ,Representative,Democrat,WI,110(2007-2008),A.B.,Smith College,1984," Northampton, Mass."
"BALDWIN, Tammy",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001230,1962- ,Representative,Democrat,WI,110(2007-2008),J.D.,University of Wisconsin Law School,1989," Madison, Wis."
"BARRASSO, John A.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001261,1952- ,Senator,Republican,WY,110(2007-2008),None,None,None,None
"BARRETT, James Gresham",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001239,1961- ,Representative,Republican,SC,110(2007-2008),B.A.,The Citadel,1983," Charleston, S.C."
"BARROW, John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001252,1955- ,Representative,Democrat,GA,110(2007-2008),B.A.,University of Georgia,1976," Athens, Ga."
"BARROW, John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001252,1955- ,Representative,Democrat,GA,110(2007-2008),J.D.,Harvard University,1979," Cambridge, Mass."
"BARTLETT, Roscoe Gardner",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000208,1926- ,Representative,Republican,MD,110(2007-2008),B.S.,Columbia Union College,1947," Takoma Park, Md."
"BARTLETT, Roscoe Gardner",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000208,1926- ,Representative,Republican,MD,110(2007-2008),M.S.,University of Maryland,1948," College Park, Md."
"BARTLETT, Roscoe Gardner",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000208,1926- ,Representative,Republican,MD,110(2007-2008),Ph.D.,University of Maryland,1952," College Park, Md."
"BARTON, Joe Linus",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000213,1949- ,Representative,Republican,TX,110(2007-2008),M.S.,Purdue University,1973," West Lafayette, Ind."
"BAUCUS, Max Sieben",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000243,1941- ,Senator,Democrat,MT,110(2007-2008),None,None,None,None
"BAYH, Evan",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001233,1955- ,Senator,Democrat,IN,110(2007-2008),None,None,None,None
"BEAN, Melissa L.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001253,1962- ,Representative,Democrat,IL,110(2007-2008),A.A.,Oakton Community College,1982," Des Plaines, Ill."
"BEAN, Melissa L.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001253,1962- ,Representative,Democrat,IL,110(2007-2008),B.A.,Roosevelt University,2002," Chicago, Ill."
"BECERRA, Xavier",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000287,1958- ,Representative,Democrat,CA,110(2007-2008),B.A.,Stanford University,1980," Stanford, Calif."
"BECERRA, Xavier",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000287,1958- ,Representative,Democrat,CA,110(2007-2008),J.D.,Stanford University,1984," Stanford., Calif."
"BENNETT, Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000382,1933- ,Senator,Republican,UT,110(2007-2008),None,None,None,None
"BERKLEY, Shelley",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001231,1951- ,Representative,Democrat,NV,110(2007-2008),B.A.,University of Nevada,1972, Las Vegas
"BERKLEY, Shelley",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001231,1951- ,Representative,Democrat,NV,110(2007-2008),J.D.,University of San Diego Law School,1976," San Diego, Calif."
"BERMAN, Howard Lawrence",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000410,1941- ,Representative,Democrat,CA,110(2007-2008),B.A.,University of California,1962," Los Angeles, Calif."
"BERMAN, Howard Lawrence",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000410,1941- ,Representative,Democrat,CA,110(2007-2008),LL.B.,University of California School of Law,1965," Los Angeles, Calif."
"BERRY, Robert Marion",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000420,1942- ,Representative,Democrat,AR,110(2007-2008),B.S.,University of Arkansas for Medical Sciences,1965,None
"BIDEN, Joseph Robinette, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444,1942- ,Senator,Democrat,DE,110(2007-2008),None,None,None,None
"BIGGERT, Judy Borg",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001232,1937- ,Representative,Republican,IL,110(2007-2008),B.A.,Stanford University,1959," Stanford, Calif."
"BIGGERT, Judy Borg",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001232,1937- ,Representative,Republican,IL,110(2007-2008),J.D.,Northwestern University School of Law,1963," Evanston, Ill."
"BILBRAY, Brian P.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000461,1951- ,Representative,Republican,CA,110(2007-2008),None,None,None,None
"BILIRAKIS, Gus",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001257,1963- ,Representative,Republican,FL,110(2007-2008),B.A.,University of Florida,1986," Gainesville, Fla."
"BILIRAKIS, Gus",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001257,1963- ,Representative,Republican,FL,110(2007-2008),J.D.,Stetson University,1989," St. Petersburg, Fla."
"BINGAMAN, Jesse Francis, Jr. (Jeff)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000468,1943- ,Senator,Democrat,NM,110(2007-2008),None,None,None,None
"BISHOP, Robert (Rob)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001250,1951- ,Representative,Republican,UT,110(2007-2008),B.A.,University of Utah,1974," Salt Lake City, Utah"
"BISHOP, Sanford Dixon, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000490,1947- ,Representative,Democrat,GA,110(2007-2008),B.A.,Morehouse College,1968," Atlanta, Ga."
"BISHOP, Sanford Dixon, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000490,1947- ,Representative,Democrat,GA,110(2007-2008),J.D.,Emory University School of Law,1971," Atlanta, Ga."
"BISHOP, Timothy H.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001242,1950- ,Representative,Democrat,NY,110(2007-2008),A.B.,Holy Cross College,1972," Worcester, Mass."
"BISHOP, Timothy H.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001242,1950- ,Representative,Democrat,NY,110(2007-2008),M.A.,Long Island University,1981," Long Island, N.Y."
"BLACKBURN, Marsha",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001243,1952- ,Representative,Republican,TN,110(2007-2008),None,None,None,None
"BLUMENAUER, Earl",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000574,1948- ,Representative,Democrat,OR,110(2007-2008),B.A.,Lewis and Clark College,1970," Portland, Oreg."
"BLUMENAUER, Earl",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000574,1948- ,Representative,Democrat,OR,110(2007-2008),J.D.,Lewis and Clark Law School,1976," Portland, Oreg."
