"ABERCROMBIE, Neil",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000014,1938- ,Representative,Democrat,HI,103(1993-1994),B.A.,Union College,1959," Schenectady, N.Y."
"ABERCROMBIE, Neil",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000014,1938- ,Representative,Democrat,HI,103(1993-1994),M.A.,University of Hawaii,1964," Manoa, Hawaii"
"ABERCROMBIE, Neil",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000014,1938- ,Representative,Democrat,HI,103(1993-1994),Ph.D.,University of Hawaii,1974," Manoa, Hawaii"
"ACKERMAN, Gary Leonard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000022,1942- ,Representative,Democrat,NY,103(1993-1994),B.A.,Queens College,1965," Flushing, N.Y."
"ANDREWS, Michael Allen",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000209,1944- ,Representative,Democrat,TX,103(1993-1994),B.A.,University of Texas,1967, Austin
"ANDREWS, Michael Allen",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000209,1944- ,Representative,Democrat,TX,103(1993-1994),J.D.,Southern Methodist University,1970," School of Law, Dallas, Tex."
"ANDREWS, Robert Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000210,1957- ,Representative,Democrat,NJ,103(1993-1994),B.S.,Bucknell University,1979," Lewisburg, Pa."
"ANDREWS, Robert Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000210,1957- ,Representative,Democrat,NJ,103(1993-1994),J.D.,Cornell Law School,1982," Ithaca, N.Y."
"ARMEY, Richard Keith",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000217,1940- ,Representative,Republican,TX,103(1993-1994),B.A.,Jamestown College,1963," Jamestown, N. Dak."
"ARMEY, Richard Keith",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000217,1940- ,Representative,Republican,TX,103(1993-1994),M.A.,University of North Dakota,1964," Grand Forks, N. Dak."
"ARMEY, Richard Keith",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000217,1940- ,Representative,Republican,TX,103(1993-1994),Ph.D.,University of Oklahoma,1968," Oklahoma City, Okla."
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,103(1993-1994),B.A.,Yale University,1960,None
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,103(1993-1994),M.A.,Oxford University,1962, England
"ASPIN, Leslie",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000224,1938-1995,Representative,Democrat,WI,103(1993-1994),Ph.D.,economics,1965, Massachusetts Institute of Technology
"BACCHUS, James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000008,1949- ,Representative,Democrat,FL,103(1993-1994),B.A.,Vanderbilt University,1971," Nashville, Tenn."
"BACCHUS, James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000008,1949- ,Representative,Democrat,FL,103(1993-1994),M.A.,Yale University,1973," New Haven, Conn."
