"ABBITT, Watkins Moorman",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000002,1908-1998,Representative,Democrat,VA,85(1957-1958),LL.B.,University of Richmond,1931," Richmond, Va."
"AVERY, William Henry",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000228,1911-2009,Representative,Republican,KS,85(1957-1958),A.B.,University of Kansas at Lawrence,1934,None
"BENNETT, Charles Edward",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000371,1910-2003,Representative,Democrat,FL,85(1957-1958),J.D.,University of Florida,1934," Gainesville, Fla."
"BOLLING, Richard Walker",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000605,1916-1991,Representative,Democrat,MO,85(1957-1958),B.A.,1937,1939, M.A.
"CHAMBERLAIN, Charles Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000275,1917-2002,Representative,Republican,MI,85(1957-1958),B.S.,University of Virginia,1941," Charlottesville, Va."
"CHAMBERLAIN, Charles Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000275,1917-2002,Representative,Republican,MI,85(1957-1958),LL.B.,University of Virginia Law School,1949," Charlottesville, Va."
"COLE, William Sterling",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000617,1904-1987,Representative,Republican,NY,85(1957-1958),A.B.,Colgate University,1925," Hamilton, N.Y."
"DINGELL, John David, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000355,1926- ,Representative,Democrat,MI,85(1957-1958),B.S.,Georgetown University,1949," Washington, D.C."
"DINGELL, John David, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000355,1926- ,Representative,Democrat,MI,85(1957-1958),J.D.,Georgetown University Law School,1952," Washington, D.C."
"DOLLINGER, Isidore",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000402,1903-2000,Representative,Democrat,NY,85(1957-1958),B.C.S.,New York University,1925," New York, N.Y."
"DOLLINGER, Isidore",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000402,1903-2000,Representative,Democrat,NY,85(1957-1958),L.L.B.,New York Law School,1928," New York, N.Y."
"FEIGHAN, Michael Aloysius",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000060,1905-1992,Representative,Democrat,OH,85(1957-1958),A.B.,Princeton University,1931," 1927 and LL.B., Harvard Law School"
"FLYNT, John James, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000229,1914-2007,Representative,Democrat,GA,85(1957-1958),A.B.,University of Georgia,1936," Athens, Ga."
"FOUNTAIN, Lawrence H.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000319,1913-2002,Representative,Democrat,NC,85(1957-1958),A.B.,University of North Carolina,1934," Chapel Hill, N.C."
"FOUNTAIN, Lawrence H.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000319,1913-2002,Representative,Democrat,NC,85(1957-1958),J.D.,University of North Carolina,1936," Chapel Hill, N.C."
"GRIFFITHS, Martha Wright",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000471,1912-2003,Representative,Democrat,MI,85(1957-1958),B.A.,University of Missouri,1934," Columbia, Mo."
"HAGEN, Harlan Francis",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000013,1914-1990,Representative,Democrat,CA,85(1957-1958),A.B.,University of California,1936," Berkeley, Calif."
"HAGEN, Harlan Francis",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000013,1914-1990,Representative,Democrat,CA,85(1957-1958),L.L.B.,University of California,1940," Berkeley, Calif."
"HEALEY, James Christopher",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000424,1909-1981,Representative,Democrat,NY,85(1957-1958),B.S.,Wharton School of the University of Pennsylvania,1933, Philadelphia
"JENNINGS, William Pat",http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000098,1919-1994,Representative,Democrat,VA,85(1957-1958),B.S.,Virginia Polytechnic Institute,1941," Blacksburg, Va."
"KARSTEN, Frank Melvin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000013,1913-1992,Representative,Democrat,MO,85(1957-1958),LL.D.,Parsons College,1969," Fairfield, Iowa"
"KELLY, Edna Flannery",http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000070,1906-1997,Representative,Democrat,NY,85(1957-1958),B.A.,Hunter College,1928," New York, N.Y."
"LAIRD, Melvin Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000024,1922- ,Representative,Republican,WI,85(1957-1958),B.A.,Carleton College,1944," Northfield, Minn."
"LANE, Thomas Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000065,1898-1994,Representative,Democrat,MA,85(1957-1958),LL.B.,Suffolk Law School,1925," Boston, Mass."
"LANKFORD, Richard Estep",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000081,1914-2003,Representative,Democrat,MD,85(1957-1958),B.S.,University of Virginia,1937," Charlottesville, Va."
"LANKFORD, Richard Estep",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000081,1914-2003,Representative,Democrat,MD,85(1957-1958),LL.B.,University of Maryland,1940," Baltimore, Md."
"McINTOSH, Robert John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000483,1922-2008,Representative,Republican,MI,85(1957-1958),J.D.,University of Michigan Law School,1948,None
