"ABBITT, Watkins Moorman",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000002,1908-1998,Representative,Democrat,VA,90(1967-1968),LL.B.,University of Richmond,1931," Richmond, Va."
"ANDERSON, John Bayard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000195,1922- ,Representative,Republican,IL,90(1967-1968),A.B.,University of Illinois,1942," Urbana, Ill."
"ANDERSON, John Bayard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000195,1922- ,Representative,Republican,IL,90(1967-1968),LL.M.,Harvard University Law School,1949," Cambridge, Mass."
"ANNUNZIO, Frank",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000212,1915-2001,Representative,Democrat,IL,90(1967-1968),B.S.,DePaul University,1940," Chicago, Ill."
"ANNUNZIO, Frank",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000212,1915-2001,Representative,Democrat,IL,90(1967-1968),M.A.,DePaul University,1942," Chicago, Ill."
"BENNETT, Charles Edward",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000371,1910-2003,Representative,Democrat,FL,90(1967-1968),J.D.,University of Florida,1934," Gainesville, Fla."
"BIESTER, Edward George, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000451,1931- ,Representative,Republican,PA,90(1967-1968),B.A.,Wesleyan University,1952,None
"BIESTER, Edward George, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000451,1931- ,Representative,Republican,PA,90(1967-1968),D.L.,Temple University School of Law ,1955,None
"BOLLING, Richard Walker",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000605,1916-1991,Representative,Democrat,MO,90(1967-1968),B.A.,1937,1939, M.A.
"BRASCO, Frank James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000771,1932-1998,Representative,Democrat,NY,90(1967-1968),B.A.,Brooklyn College,1955," Brooklyn, N.Y."
"BRASCO, Frank James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000771,1932-1998,Representative,Democrat,NY,90(1967-1968),L.L.B.,Brooklyn Law School,1957," Brooklyn, N.Y."
