"ABBITT, Watkins Moorman",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000002,1908-1998,Representative,Democrat,VA,82(1951-1952),LL.B.,University of Richmond,1931," Richmond, Va."
"BATTLE, Laurie Calvin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000242,1912-2000,Representative,Democrat,AL,82(1951-1952),M.A.,Ohio State University,1939," Columbus, Ohio"
"BENNETT, Charles Edward",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000371,1910-2003,Representative,Democrat,FL,82(1951-1952),J.D.,University of Florida,1934," Gainesville, Fla."
"BOLLING, Richard Walker",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000605,1916-1991,Representative,Democrat,MO,82(1951-1952),B.A.,1937,1939, M.A.
"COLE, William Sterling",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000617,1904-1987,Representative,Republican,NY,82(1951-1952),A.B.,Colgate University,1925," Hamilton, N.Y."
"DOLLINGER, Isidore",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000402,1903-2000,Representative,Democrat,NY,82(1951-1952),B.C.S.,New York University,1925," New York, N.Y."
"DOLLINGER, Isidore",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000402,1903-2000,Representative,Democrat,NY,82(1951-1952),L.L.B.,New York Law School,1928," New York, N.Y."
"FEIGHAN, Michael Aloysius",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000060,1905-1992,Representative,Democrat,OH,82(1951-1952),A.B.,Princeton University,1931," 1927 and LL.B., Harvard Law School"
"FURCOLO, John Foster",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000431,1911-1995,Representative,Democrat,MA,82(1951-1952),LL.B.,Yale University,1936," New Haven, Conn."
"KARSTEN, Frank Melvin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000013,1913-1992,Representative,Democrat,MO,82(1951-1952),LL.D.,Parsons College,1969," Fairfield, Iowa"
"KELLY, Edna Flannery",http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000070,1906-1997,Representative,Democrat,NY,82(1951-1952),B.A.,Hunter College,1928," New York, N.Y."
"LANE, Thomas Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000065,1898-1994,Representative,Democrat,MA,82(1951-1952),LL.B.,Suffolk Law School,1925," Boston, Mass."
"McKINNON, Clinton Dotson",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000528,1906-2001,Representative,Democrat,CA,82(1951-1952),B.A.,University of Redlands,1930," Redlands, Calif."
"ROGERS, Walter Edward",http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000404,1908-2001,Representative,Democrat,TX,82(1951-1952),B.A.,Austin College,1926," Sherman, Tex."
"ROGERS, Walter Edward",http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000404,1908-2001,Representative,Democrat,TX,82(1951-1952),J.D.,University of Texas,1935," Austin, Tex."
"SIKES, Robert Lee Fulton",http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000406,1906-1994,Representative,Democrat,FL,82(1951-1952),B.S.,University of Georgia,1927," Athens, Ga."
"SIKES, Robert Lee Fulton",http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000406,1906-1994,Representative,Democrat,FL,82(1951-1952),MS.,University of Florida,1929," Gainesville, Fla."
"TEAGUE, Olin Earl",http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000110,1910-1981,Representative,Democrat,TX,82(1951-1952),B.A.,Texas Agricultural and Mechanical College at College Station,1932,None
"YATES, Sidney Richard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=Y000013,1909-2000,Representative,Democrat,IL,82(1951-1952),B.A.,University of Chicago,1931," Chicago, Ill."
"YATES, Sidney Richard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=Y000013,1909-2000,Representative,Democrat,IL,82(1951-1952),J.D.,University of Chicago,1933," Chicago, Ill."
"ZABLOCKI, Clement John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=Z000001,1912-1983,Representative,Democrat,WI,82(1951-1952),Ph.B.,Marquette University,1936,None
